Timestamp,Protocol,Source IP,Destination IP,Payload Data
2025-06-06 19:24:07,Ether,192.168.1.2,149.154.167.99,"b'\x17\x03\x03\x00\xb2U\xb4@\xa0\xfe\xb3\xbfv,i\xf1$\xd0\xad\xdc\xb4#^\n*\\\xb1\xd5\xb0|\x9f\x86]\xf8&f\xee\x03dL\x88\xc4\xc1)?\x9e\xf3~K\xc4\x1b\x18N\x87mO\x83\x16\x19Gw\xaf\xa6\xf7\x1f\x80D\xa7\xd3*\x9a\x96Cz\xb2b\x10\xe8u+\x13\xb4o\xedh\xe0\xe6u\xb1b\xf6\xdd\x86;b\x906\xa5\x01\xe4:\xfeb\xff\x02n\xea\x90\x1f\'\xa7\x96\xe8z\x9d,\x8d\x17\xc7\xe0\xd7\xc2~.-\x82\x96$,\x1d\x02|\xb0M<\xc7\x91\x06\xfc\xa7\x94X\x12\xc4\x81.TK\x01\x14\xa6\xdd\x1fB1\x1bbT\xd8\xd0~%\x98u\xb4\xb5+\x02\x88""\\\xc0\xfc\xb9K4E\x98\\\xf8\xdc\xd1\xac'"
2025-06-06 19:24:07,Ether,149.154.167.99,192.168.1.2,b'\x17\x03\x03\x00l\x99C\xd5\xfdmCM\x88}}\xcc\x0cc5\x85~\xc4i\xf0\xc6O9\xf9r\xe0\xea%\xccu\xcbo4xt\xd6\x99}w1\xd2\xe4\t:[\nv\x8f\x01\xde\xfe\xcc\x90i\x04\xc1\xa6\xe8*t\xcd1\xae\x8c\x8d4\xbf\x93#W\x12\xb4LAF\x96\xae\x91\xa3-\xfb\x7f\xc6 \x1dii\x9b\xc2q\xd3\x98da$\xbe\x93\xee\xe9\x15\xf0\xbfD\xc8\x1dmG\xd1\xb6'
2025-06-06 19:24:07,Ether,192.168.1.2,149.154.167.99,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,No Payload
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,No Payload
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,b'\x00!'
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,b'\xe7\xb0\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x03ssl\x07gstatic\x03com\x00\x00A\x00\x01'
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,b'\x00!'
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,b'\x10k\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x03ssl\x07gstatic\x03com\x00\x00\x01\x00\x01'
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,No Payload
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,No Payload
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,No Payload
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,149.154.167.99,"b'\x17\x03\x03\x00\xb2\x18\xdb.j\xd0\xffZL\xee7\xa1\xd9K\xa1\xe6\x1f\xdbr\xc5[\xa3.\xc1\xe6M\xa2\xaaX/\xabFWW\xa9\xd6\xf0u\xe9\xda\xdfj\\\xa6\xea\x104\xb2\xe4\xb9\x18\xc9e\xd1\x07o\x9a\x02\xe6\xcb\xee<FU_\x83\xd9a\x05m\xffn\x82\xe5/\xf0\xcdpR8N\xc9\xb6\xa9fa\x7f\xd5\xe3\x85\xbb\xb5OU\xa3k\x8c\x95B\x05\xcc\xd5\xc9Y\xb63\xb3\xf3\xb6U \xfd\x1b.-\x92\xea\x16B\xcf\xb9\xb5-\'\xf2{_q\xbb\xaed\xa0\xfd(<B\xc7Wm&\x9c\xef\xb7\xb0\x02\x9d\x1d\xed\x81\x15.\x93;\x8f\x90c\xa3\xaa>\xc3\xc0y\xaaE\xfci\x96\x1a\x99""\x8a\xde\x17\xfd\xd9\xc7N\x12\xdb'"
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,b'\x00'
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,b'\x00'
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,149.154.167.99,"b'\x17\x03\x03\x00\xb2\x18\xdb.j\xd0\xffZL\xee7\xa1\xd9K\xa1\xe6\x1f\xdbr\xc5[\xa3.\xc1\xe6M\xa2\xaaX/\xabFWW\xa9\xd6\xf0u\xe9\xda\xdfj\\\xa6\xea\x104\xb2\xe4\xb9\x18\xc9e\xd1\x07o\x9a\x02\xe6\xcb\xee<FU_\x83\xd9a\x05m\xffn\x82\xe5/\xf0\xcdpR8N\xc9\xb6\xa9fa\x7f\xd5\xe3\x85\xbb\xb5OU\xa3k\x8c\x95B\x05\xcc\xd5\xc9Y\xb63\xb3\xf3\xb6U \xfd\x1b.-\x92\xea\x16B\xcf\xb9\xb5-\'\xf2{_q\xbb\xaed\xa0\xfd(<B\xc7Wm&\x9c\xef\xb7\xb0\x02\x9d\x1d\xed\x81\x15.\x93;\x8f\x90c\xa3\xaa>\xc3\xc0y\xaaE\xfci\x96\x1a\x99""\x8a\xde\x17\xfd\xd9\xc7N\x12\xdb'"
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,b'Z\xe7\xb0\x81\x80\x00\x01\x00\x00\x00\x01\x00\x00\x03ssl\x07gstatic\x03com\x00\x00A\x00\x01\xc0\x10\x00\x06\x00\x01\x00\x00\x00<\x00-\x03ns1\x06google\xc0\x18\tdns-admin\xc01-\xc0\xaf\x86\x00\x00\x03\x84\x00\x00\x03\x84\x00\x00\x07\x08\x00\x00\x00<'
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,b'1\x10k\x81\x80\x00\x01\x00\x01\x00\x00\x00\x00\x03ssl\x07gstatic\x03com\x00\x00\x01\x00\x01\xc0\x0c\x00\x01\x00\x01\x00\x00\x006\x00\x04\x8e\xfb*\x03'
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,No Payload
2025-06-06 19:24:10,Ether,192.168.1.1,192.168.1.2,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,No Payload
2025-06-06 19:24:10,Ether,192.168.1.2,192.168.1.1,No Payload
