2025-06-06 19:24:07 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:07 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:07 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 149.154.167.99
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 149.154.167.99 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
2025-06-06 19:24:10 | Ether | 192.168.1.1 -> 192.168.1.2
2025-06-06 19:24:10 | Ether | 192.168.1.2 -> 192.168.1.1
